Id	IdUsuario	NomUsuario	IdApp	IdTemplate	Estado	Proveedor	Asunto	Destinatario	CorrelationId	MsgIdExterno	FecCrea	FecEnvio	Intentos	ErrorDetalle
--	---------	----------	-----	----------	------	---------	------	------------	-------------	------------	-------	--------	--------	------------
1	NULL	NULL	NULL	NULL	enviado	NULL	Bienvenido a PassPlat	cbecerrapalma@gmail.com	NULL	trk-e6aec8c3085e462abe2ea624553cab20	2026-06-24 05:48:41.993	2026-06-24 05:48:44.980	1	NULL
2	NULL	NULL	NULL	4	enviado	NULL	Bienvenido a PassPlat	test_fix_final_06@test.com	NULL	trk-47d86e60f8484a5fa01359822dc822f7	2026-06-24 08:07:55.918	2026-06-24 08:07:58.599	1	NULL
3	14	test_fix_final_01	1	4	enviado	NULL	Bienvenido a PassPlat	test_fix_final_01@test.com	f88eb6d1-93c6-49f3-b6c5-ff08404b643e	trk-04efae0a20ad40f3aee39d8472f9056e	2026-06-24 09:11:54.832	2026-06-24 09:11:58.130	1	NULL
4	15	test_final_verify	1	4	enviado	NULL	Bienvenido a PassPlat	test_final_verify@test.com	d9ba3c9d-93d1-4e0c-9fc9-bf37297b82c4	trk-38b839b89ddc4b23a139ffe3e580e6da	2026-06-24 20:29:38.349	2026-06-24 20:29:41.141	1	NULL
5	15	test_final_verify	1	2	enviado	NULL	Restablecimiento de contraseña	test_final_verify@test.com	5aa462fa-38f5-428c-b2f3-e817ff266cb3	trk-009c9d12e34d4387870766312e625e07	2026-06-24 20:33:41.196	2026-06-24 20:33:43.332	1	NULL
6	16	test_proveedor_01	1	4	enviado	SMTP Global	Bienvenido a PassPlat	test_proveedor_01@test.com	a483e2f8-ea89-4a61-a62e-c3da936131aa	trk-02d016efcc0244f8b7f3b4ff985a2b6c	2026-06-24 23:10:02.583	2026-06-24 23:10:05.893	2	NULL
7	17	test_sec_user2	1	4	enviado	SMTP Global	Bienvenido a PassPlat	test_sec_user2@test.com	e09366f9-6cd0-4161-a29d-05d4e93c9bae	trk-053d9780348747a79c5ff9f9f0c38fb5	2026-06-24 23:51:25.981	2026-06-24 23:51:28.292	1	NULL
8	18	test_sec_user3	1	4	enviado	SMTP Global	Bienvenido a PassPlat	test_sec_user3@test.com	4cd98037-d63c-48bf-9cfb-f6e441fad5a9	trk-cd539730e8ba4858958a3d59e516d603	2026-06-25 00:11:22.786	2026-06-25 00:11:25.339	1	NULL
9	19	security_test_01	1	4	enviado	SMTP Global	Bienvenido a PassPlat	security_test_01@test.com	1eb07b0a-b2a5-48b5-86ed-19fef0a625c3	trk-1c51bf67ebaa4257a9a3d9a5f431226e	2026-06-25 00:19:43.208	2026-06-25 00:19:45.085	1	NULL
10	20	security_test_02	1	4	enviado	SMTP Global	Bienvenido a PassPlat	security_test_02@test.com	17f108f8-2f05-46b3-8a30-59609fa4c123	trk-d7a7ba35f1b148dbbbccc87ff271d4fd	2026-06-25 00:21:49.144	2026-06-25 00:21:51.011	1	NULL
11	21	test_user_very_strong_01	1	4	enviado	SMTP Global	Bienvenido a PassPlat	test_very_strong_01@test.com	1fe79af1-eb07-466a-b2e9-2df4f71b8c8a	trk-af147cc4e0d747598a3cc8d889325cfa	2026-06-25 00:50:16.671	2026-06-25 00:50:18.564	1	NULL
12	21	test_user_very_strong_01	NULL	7	enviado	SMTP Global	Contraseña actualizada — 	test_very_strong_01@test.com	d99a0cee-6675-441e-95e2-fbe8baaede81	trk-807ff5c07e6a406894559aabf1f0ee1f	2026-06-25 00:53:05.135	2026-06-25 00:53:07.087	1	NULL
13	22	sec_alrt_02	1	4	enviado	SMTP Global	Bienvenido a PassPlat	sec_alrt_02@test.com	6978f7a9-aeca-444e-b105-1d5ae9687627	trk-64276e7ff9514422ba807f4d074d04a6	2026-06-25 00:59:56.619	2026-06-25 00:59:58.931	1	NULL

(13 rows affected)
